{'Timestamp': '2024-06-10 21:38:45', 'Operation': 'UPDATE', 'Register': 'IR', 'Value': 41216, 'Registers': {'AR': 0, 'PC': 0, 'DR': 0, 'AC': 0, 'IR': 41216}}
{'Timestamp': '2024-06-10 21:38:45', 'Operation': 'UPDATE', 'Register': 'AR', 'Value': 256, 'Registers': {'AR': 256, 'PC': 0, 'DR': 0, 'AC': 0, 'IR': 41216}}
{'Timestamp': '2024-06-10 21:38:45', 'Operation': 'INCREMENT', 'Register': 'PC', 'Value': 1, 'Registers': {'AR': 256, 'PC': 1, 'DR': 0, 'AC': 0, 'IR': 41216}}
{'Timestamp': '2024-06-10 21:38:45', 'Operation': 'UPDATE', 'Register': 'IR', 'Value': 37376, 'Registers': {'AR': 256, 'PC': 1, 'DR': 0, 'AC': 0, 'IR': 37376}}
{'Timestamp': '2024-06-10 21:38:45', 'Operation': 'UPDATE', 'Register': 'AR', 'Value': 512, 'Registers': {'AR': 512, 'PC': 1, 'DR': 0, 'AC': 0, 'IR': 37376}}
{'Timestamp': '2024-06-10 21:38:45', 'Operation': 'INCREMENT', 'Register': 'PC', 'Value': 2, 'Registers': {'AR': 512, 'PC': 2, 'DR': 0, 'AC': 0, 'IR': 37376}}
{'Timestamp': '2024-06-10 21:38:45', 'Operation': 'UPDATE', 'Register': 'IR', 'Value': 45824, 'Registers': {'AR': 512, 'PC': 2, 'DR': 0, 'AC': 0, 'IR': 45824}}
{'Timestamp': '2024-06-10 21:38:45', 'Operation': 'UPDATE', 'Register': 'AR', 'Value': 768, 'Registers': {'AR': 768, 'PC': 2, 'DR': 0, 'AC': 0, 'IR': 45824}}
{'Timestamp': '2024-06-10 21:38:45', 'Operation': 'INCREMENT', 'Register': 'PC', 'Value': 3, 'Registers': {'AR': 768, 'PC': 3, 'DR': 0, 'AC': 0, 'IR': 45824}}
{'Timestamp': '2024-06-10 21:38:45', 'Operation': 'UPDATE', 'Register': 'IR', 'Value': 50176, 'Registers': {'AR': 768, 'PC': 3, 'DR': 0, 'AC': 0, 'IR': 50176}}
{'Timestamp': '2024-06-10 21:38:45', 'Operation': 'UPDATE', 'Register': 'AR', 'Value': 1024, 'Registers': {'AR': 1024, 'PC': 3, 'DR': 0, 'AC': 0, 'IR': 50176}}
{'Timestamp': '2024-06-10 21:38:45', 'Operation': 'INCREMENT', 'Register': 'PC', 'Value': 4, 'Registers': {'AR': 1024, 'PC': 4, 'DR': 0, 'AC': 0, 'IR': 50176}}
{'Timestamp': '2024-06-10 21:38:45', 'Operation': 'UPDATE', 'Register': 'IR', 'Value': 34048, 'Registers': {'AR': 1024, 'PC': 4, 'DR': 0, 'AC': 0, 'IR': 34048}}
{'Timestamp': '2024-06-10 21:38:45', 'Operation': 'UPDATE', 'Register': 'AR', 'Value': 1280, 'Registers': {'AR': 1280, 'PC': 4, 'DR': 0, 'AC': 0, 'IR': 34048}}
{'Timestamp': '2024-06-10 21:38:45', 'Operation': 'INCREMENT', 'Register': 'PC', 'Value': 5, 'Registers': {'AR': 1280, 'PC': 5, 'DR': 0, 'AC': 0, 'IR': 34048}}
{'Timestamp': '2024-06-10 21:38:45', 'Operation': 'UPDATE', 'Register': 'IR', 'Value': 58880, 'Registers': {'AR': 1280, 'PC': 5, 'DR': 0, 'AC': 0, 'IR': 58880}}
{'Timestamp': '2024-06-10 21:38:45', 'Operation': 'UPDATE', 'Register': 'AR', 'Value': 1536, 'Registers': {'AR': 1536, 'PC': 5, 'DR': 0, 'AC': 0, 'IR': 58880}}
{'Timestamp': '2024-06-10 21:38:45', 'Operation': 'INCREMENT', 'Register': 'PC', 'Value': 6, 'Registers': {'AR': 1536, 'PC': 6, 'DR': 0, 'AC': 0, 'IR': 58880}}
{'Timestamp': '2024-06-10 21:38:45', 'Operation': 'UPDATE', 'Register': 'IR', 'Value': 28673, 'Registers': {'AR': 1536, 'PC': 6, 'DR': 0, 'AC': 0, 'IR': 28673}}
{'Timestamp': '2024-06-10 21:38:45', 'Operation': 'INCREMENT', 'Register': 'PC', 'Value': 7, 'Registers': {'AR': 1536, 'PC': 7, 'DR': 0, 'AC': 0, 'IR': 28673}}
{'Timestamp': '2024-06-10 21:39:08', 'Operation': 'UPDATE', 'Register': 'IR', 'Value': 41216, 'Registers': {'AR': 1536, 'PC': 7, 'DR': 0, 'AC': 0, 'IR': 41216}}
{'Timestamp': '2024-06-10 21:39:08', 'Operation': 'UPDATE', 'Register': 'AR', 'Value': 256, 'Registers': {'AR': 256, 'PC': 7, 'DR': 0, 'AC': 0, 'IR': 41216}}
{'Timestamp': '2024-06-10 21:39:08', 'Operation': 'INCREMENT', 'Register': 'PC', 'Value': 8, 'Registers': {'AR': 256, 'PC': 8, 'DR': 0, 'AC': 0, 'IR': 41216}}
{'Timestamp': '2024-06-10 21:39:08', 'Operation': 'UPDATE', 'Register': 'IR', 'Value': 37376, 'Registers': {'AR': 256, 'PC': 8, 'DR': 0, 'AC': 0, 'IR': 37376}}
{'Timestamp': '2024-06-10 21:39:08', 'Operation': 'UPDATE', 'Register': 'AR', 'Value': 512, 'Registers': {'AR': 512, 'PC': 8, 'DR': 0, 'AC': 0, 'IR': 37376}}
{'Timestamp': '2024-06-10 21:39:08', 'Operation': 'INCREMENT', 'Register': 'PC', 'Value': 9, 'Registers': {'AR': 512, 'PC': 9, 'DR': 0, 'AC': 0, 'IR': 37376}}
{'Timestamp': '2024-06-10 21:39:08', 'Operation': 'UPDATE', 'Register': 'IR', 'Value': 45824, 'Registers': {'AR': 512, 'PC': 9, 'DR': 0, 'AC': 0, 'IR': 45824}}
{'Timestamp': '2024-06-10 21:39:08', 'Operation': 'UPDATE', 'Register': 'AR', 'Value': 768, 'Registers': {'AR': 768, 'PC': 9, 'DR': 0, 'AC': 0, 'IR': 45824}}
{'Timestamp': '2024-06-10 21:39:08', 'Operation': 'INCREMENT', 'Register': 'PC', 'Value': 10, 'Registers': {'AR': 768, 'PC': 10, 'DR': 0, 'AC': 0, 'IR': 45824}}
{'Timestamp': '2024-06-10 21:39:08', 'Operation': 'UPDATE', 'Register': 'IR', 'Value': 50176, 'Registers': {'AR': 768, 'PC': 10, 'DR': 0, 'AC': 0, 'IR': 50176}}
{'Timestamp': '2024-06-10 21:39:08', 'Operation': 'UPDATE', 'Register': 'AR', 'Value': 1024, 'Registers': {'AR': 1024, 'PC': 10, 'DR': 0, 'AC': 0, 'IR': 50176}}
{'Timestamp': '2024-06-10 21:39:08', 'Operation': 'INCREMENT', 'Register': 'PC', 'Value': 11, 'Registers': {'AR': 1024, 'PC': 11, 'DR': 0, 'AC': 0, 'IR': 50176}}
{'Timestamp': '2024-06-10 21:39:08', 'Operation': 'UPDATE', 'Register': 'IR', 'Value': 34048, 'Registers': {'AR': 1024, 'PC': 11, 'DR': 0, 'AC': 0, 'IR': 34048}}
{'Timestamp': '2024-06-10 21:39:08', 'Operation': 'UPDATE', 'Register': 'AR', 'Value': 1280, 'Registers': {'AR': 1280, 'PC': 11, 'DR': 0, 'AC': 0, 'IR': 34048}}
{'Timestamp': '2024-06-10 21:39:08', 'Operation': 'INCREMENT', 'Register': 'PC', 'Value': 12, 'Registers': {'AR': 1280, 'PC': 12, 'DR': 0, 'AC': 0, 'IR': 34048}}
{'Timestamp': '2024-06-10 21:39:08', 'Operation': 'UPDATE', 'Register': 'IR', 'Value': 58880, 'Registers': {'AR': 1280, 'PC': 12, 'DR': 0, 'AC': 0, 'IR': 58880}}
{'Timestamp': '2024-06-10 21:39:08', 'Operation': 'UPDATE', 'Register': 'AR', 'Value': 1536, 'Registers': {'AR': 1536, 'PC': 12, 'DR': 0, 'AC': 0, 'IR': 58880}}
{'Timestamp': '2024-06-10 21:39:08', 'Operation': 'INCREMENT', 'Register': 'PC', 'Value': 13, 'Registers': {'AR': 1536, 'PC': 13, 'DR': 0, 'AC': 0, 'IR': 58880}}
{'Timestamp': '2024-06-10 21:39:08', 'Operation': 'UPDATE', 'Register': 'IR', 'Value': 28673, 'Registers': {'AR': 1536, 'PC': 13, 'DR': 0, 'AC': 0, 'IR': 28673}}
{'Timestamp': '2024-06-10 21:39:08', 'Operation': 'INCREMENT', 'Register': 'PC', 'Value': 14, 'Registers': {'AR': 1536, 'PC': 14, 'DR': 0, 'AC': 0, 'IR': 28673}}
